Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa,ROC-AUC,PRC-AUC,Confusion Matrix
KNN,0.99,0.900990099009901,0.6842105263157895,0.7777777777777778,0.7773456133907195,0.8793304360886968,0.6731433072276858,"[[59009    10]
 [   42    91]]"
KNN,0.8,0.9090909090909091,0.6766917293233082,0.7758620689655171,0.775431136758383,0.8793306271830137,0.6762077370621924,"[[59010     9]
 [   43    90]]"
KNN,0.5,0.8811881188118812,0.6691729323308271,0.7606837606837606,0.7602183528823133,0.8755730759318363,0.6617561533739571,"[[59007    12]
 [   44    89]]"
KNN,0.3,0.8775510204081632,0.6466165413533834,0.7445887445887445,0.744100546969932,0.8830901530754655,0.6769833026361967,"[[59007    12]
 [   47    86]]"
KNN,0.2,0.8762886597938144,0.6390977443609023,0.7391304347826086,0.7386347518748954,0.8641931545684217,0.6444960583902566,"[[59007    12]
 [   48    85]]"
KNN,0.1,0.822429906542056,0.6616541353383458,0.7333333333333333,0.7327976291390934,0.8454048887276902,0.6173822378505596,"[[59000    19]
 [   45    88]]"
KNN,0.05,0.7226890756302521,0.6466165413533834,0.6825396825396826,0.6818641110883281,0.8487468098396248,0.5739171942854145,"[[58986    33]
 [   47    86]]"
KNN,0.01,0.0,0.0,0.0,0.0,0.8400827209078967,0.22488580034480005,"[[59019     0]
 [  133     0]]"
XGBoost,0.99,0.912621359223301,0.706766917293233,0.7966101694915254,0.7962102064572307,0.9700431631103378,0.7221843844976407,"[[59010     9]
 [   39    94]]"
XGBoost,0.8,0.8773584905660378,0.6992481203007519,0.7782426778242679,0.7777995131096654,0.968742638887668,0.7408194172488991,"[[59006    13]
 [   40    93]]"
XGBoost,0.5,0.8476190476190476,0.6691729323308271,0.7478991596638657,0.7473980170880994,0.9631503910999988,0.7039874025647146,"[[59003    16]
 [   44    89]]"
XGBoost,0.3,0.8053097345132744,0.6842105263157895,0.7398373983739838,0.7392988825957725,0.966167069684581,0.7103754225241791,"[[58997    22]
 [   42    91]]"
XGBoost,0.2,0.780952380952381,0.6165413533834586,0.6890756302521008,0.688457554408656,0.9617586511900653,0.6913712562660637,"[[58996    23]
 [   51    82]]"
XGBoost,0.1,0.7722772277227723,0.5864661654135338,0.6666666666666666,0.6660184200860793,0.9503863735993264,0.662697941658001,"[[58996    23]
 [   55    78]]"
XGBoost,0.05,0.7692307692307693,0.6015037593984962,0.6751054852320676,0.6744630972257164,0.9609840822255915,0.6469794879241302,"[[58995    24]
 [   53    80]]"
XGBoost,0.01,0.9107142857142857,0.38345864661654133,0.5396825396825397,0.5390683890272598,0.9353664239896239,0.5438435734582905,"[[59014     5]
 [   82    51]]"
XGBoost,0.005,0.0,0.0,0.0,0.0,0.5,0.0022484446848796322,"[[59019     0]
 [  133     0]]"
XGBoost,0.002,0.0,0.0,0.0,0.0,0.5,0.0022484446848796322,"[[59019     0]
 [  133     0]]"
XGBoost,0.001,0.0,0.0,0.0,0.0,0.5,0.0022484446848796322,"[[59019     0]
 [  133     0]]"
CatBoost,0.99,0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994,0.966443837953548,0.678225743238095,"[[59012     7]
 [   45    88]]"
CatBoost,0.8,0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994,0.9615785129473406,0.6573052685524654,"[[59012     7]
 [   45    88]]"
CatBoost,0.5,0.8627450980392157,0.6616541353383458,0.7489361702127659,0.7484451751053873,0.9625939244492056,0.6440372433529066,"[[59005    14]
 [   45    88]]"
