Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa
LOF,0.99,0.022277227722772276,0.02195121951219512,0.022113022113022116,0.015397223472167765
iForest,0.99,0.0,0.0,0.0,-0.0072276651159268734
OCSVM,0.99,0.18896321070234115,0.275609756097561,0.22420634920634921,0.2178292692510555
