Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa,ROC-AUC,PRC-AUC,Confusion Matrix
KNN,0.99,0.9177215189873418,0.7073170731707317,0.7988980716253442,0.7976878859722221,0.9049658638662429,0.7449848180064923,"[[59231    26]
 [  120   290]]"
KNN,0.8,0.9265175718849841,0.7073170731707317,0.8022130013831259,0.8010292104386161,0.903666953827005,0.7346723476889905,"[[59234    23]
 [  120   290]]"
KNN,0.5,0.9318181818181818,0.7,0.7994428969359331,0.7982535410039169,0.9123058014757544,0.7513158444332965,"[[59236    21]
 [  123   287]]"
KNN,0.3,0.934640522875817,0.697560975609756,0.7988826815642458,0.7976944644033249,0.9048568719060464,0.7444637717216676,"[[59237    20]
 [  124   286]]"
KNN,0.2,0.930921052631579,0.6902439024390243,0.792717086834734,0.791497066155332,0.899974954075612,0.7384538702297473,"[[59236    21]
 [  127   283]]"
KNN,0.1,0.9496402877697842,0.6439024390243903,0.7674418604651163,0.7661432288946586,0.906999872815273,0.7282042776195211,"[[59243    14]
 [  146   264]]"
KNN,0.05,0.9528985507246377,0.6414634146341464,0.7667638483965014,0.7654670619572781,0.9095813523317404,0.7368458050553799,"[[59244    13]
 [  147   263]]"
KNN,0.01,0.9627329192546584,0.3780487804878049,0.542907180385289,0.5411290648841292,0.851420208871073,0.5231615538817388,"[[59251     6]
 [  255   155]]"
KNN,0.005,0.7841726618705036,0.2658536585365854,0.3970856102003643,0.3949804190477264,0.8467997194527187,0.3894013217430534,"[[59227    30]
 [  301   109]]"
KNN,0.002,0.0,0.0,0.0,0.0,0.6431475009435954,0.10272132945461489,"[[59257     0]
 [  410     0]]"
XGBoost,0.99,0.9501661129568106,0.697560975609756,0.8045007032348804,0.8033566246274547,0.9937593459165265,0.8302663488680794,"[[59242    15]
 [  124   286]]"
XGBoost,0.8,0.946843853820598,0.6951219512195121,0.8016877637130801,0.8005272235429577,0.9918779380598032,0.820692910561746,"[[59241    16]
 [  125   285]]"
XGBoost,0.5,0.9250814332247557,0.6926829268292682,0.7921896792189679,0.7909596113511707,0.9910464216021406,0.8178608673567752,"[[59234    23]
 [  126   284]]"
XGBoost,0.3,0.9035369774919614,0.6853658536585366,0.7794729542302358,0.7781578845280241,0.9867151642473442,0.8019024430868045,"[[59227    30]
 [  129   281]]"
XGBoost,0.2,0.8909657320872274,0.697560975609756,0.7824897400820793,0.7811691260725208,0.9785463650069952,0.7990890487671399,"[[59222    35]
 [  124   286]]"
XGBoost,0.1,0.875,0.6829268292682927,0.767123287671233,0.7657118650840488,0.980070811846043,0.7844155146730057,"[[59217    40]
 [  130   280]]"
XGBoost,0.05,0.813953488372093,0.6829268292682927,0.7427055702917772,0.7410821583937562,0.9745815972343701,0.7750205002241924,"[[59193    64]
 [  130   280]]"
XGBoost,0.01,0.9822222222222222,0.5390243902439025,0.6960629921259843,0.694575714621601,0.9086540151477421,0.673156983363027,"[[59253     4]
 [  189   221]]"
XGBoost,0.005,1.0,0.424390243902439,0.5958904109589042,0.5942289232284337,0.9331332060388461,0.651200218240454,"[[59257     0]
 [  236   174]]"
XGBoost,0.002,0.0,0.0,0.0,0.0,0.770676100014118,0.23572713117073296,"[[59257     0]
 [  410     0]]"
XGBoost,0.001,0.0,0.0,0.0,0.0,0.5,0.006871469991787755,"[[59257     0]
 [  410     0]]"
