num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[65],0.0,0.0,0.0,0.0
2,[257],0.90625,0.43609022556390975,0.5888324873096447,0.5882309263040653
3,[69],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
4,[1222],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
5,[340],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
6,[424],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
7,[962],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
8,[1095],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
9,[440],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
10,[68],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
11,[1109],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
12,[506],0.8543689320388349,0.6616541353383458,0.7457627118644067,0.7452627580715385
13,[61],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
14,[40],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
15,[458],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
16,[481],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
17,[491],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
18,[31],0.9239130434782609,0.6390977443609023,0.7555555555555556,0.7551052607174193
19,[505],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
20,[32],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
21,[1124],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
22,[943],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
23,[425],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
24,[215],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
25,[216],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
26,[42],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
27,[290],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
28,[7],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
29,[412],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
30,[1063],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
31,[89],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
32,[91],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
33,[162],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
34,[103],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
35,[1],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
36,[420],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
37,[97],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
38,[888],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
39,[99],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
40,[1178],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
41,[98],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
42,[418],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
43,[27],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
44,[429],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
45,[1039],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
46,[432],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
47,[431],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
48,[1184],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
49,[36],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
50,[1068],0.925531914893617,0.6541353383458647,0.7665198237885463,0.7660842380152957
51,[1007],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
52,[67],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
53,[930],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
54,[498],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
55,[5767],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
56,[917],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
57,[5],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
58,[84],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
59,[150],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
60,[86],0.9263157894736842,0.6616541353383458,0.7719298245614035,0.7715016863790994
61,[166],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
62,[500],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
63,[87],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
64,[925],0.9354838709677419,0.6541353383458647,0.7699115044247787,0.7694849386380631
65,[1177],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
66,[280910],0.9354838709677419,0.6541353383458647,0.7699115044247787,0.7694849386380631
67,[436],0.9361702127659575,0.6616541353383458,0.7753303964757708,0.774911247901511
