num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[94100],0.0,0.0,0.0,0.0
2,[276052],0.0,0.0,0.0,0.0
3,[88205],0.0,0.0,0.0,0.0
4,[124895],0.0,0.0,0.0,0.0
5,[78766],0.0,0.0,0.0,0.0
6,[108220],0.0,0.0,0.0,0.0
7,[217310],0.0,0.0,0.0,0.0
8,[50229],0.0,0.0,0.0,0.0
9,[109815],0.0,0.0,0.0,0.0
10,[64849],0.0,0.0,0.0,0.0
11,[180044],0.0,0.0,0.0,0.0
12,[74332],0.0,0.0,0.0,0.0
13,[288329],0.0,0.0,0.0,0.0
14,[67767],0.0,0.0,0.0,0.0
15,[191947],0.0,0.0,0.0,0.0
16,[230284],0.0,0.0,0.0,0.0
17,[59988],0.0,0.0,0.0,0.0
18,[135131],0.0,0.0,0.0,0.0
19,[179182],0.0,0.0,0.0,0.0
20,[54215],0.0,0.0,0.0,0.0
21,[154568],0.0,0.0,0.0,0.0
22,[243811],0.0,0.0,0.0,0.0
23,[163784],0.0,0.0,0.0,0.0
24,[295294],0.0,0.0,0.0,0.0
25,[159752],0.0,0.0,0.0,0.0
26,[269029],0.0,0.0,0.0,0.0
27,[132093],0.0,0.0,0.0,0.0
28,[104751],0.0,0.0,0.0,0.0
29,[188854],0.0,0.0,0.0,0.0
30,[148253],0.0,0.0,0.0,0.0
31,[278682],0.0,0.0,0.0,0.0
32,[266135],0.0,0.0,0.0,0.0
33,[239368],0.0,0.0,0.0,0.0
34,[278019],0.0,0.0,0.0,0.0
35,[154458],0.0,0.0,0.0,0.0
36,[19259],0.0,0.0,0.0,0.0
37,[91059],0.0,0.0,0.0,0.0
38,[56192],0.0,0.0,0.0,0.0
39,[191878],0.0,0.0,0.0,0.0
40,[5160],0.0,0.0,0.0,0.0
41,[112670],0.0,0.0,0.0,0.0
42,[80595],0.0,0.0,0.0,0.0
43,[126984],0.0,0.0,0.0,0.0
44,[143910],0.0,0.0,0.0,0.0
45,[204402],0.0,0.0,0.0,0.0
46,[295495],0.0,0.0,0.0,0.0
47,[165374],0.0,0.0,0.0,0.0
48,[215381],0.0,0.0,0.0,0.0
49,[91649],0.0,0.0,0.0,0.0
50,[54868],0.0,0.0,0.0,0.0
51,[211086],0.0,0.0,0.0,0.0
52,[6661],0.0,0.0,0.0,0.0
53,[209541],0.0,0.0,0.0,0.0
54,[250046],0.0,0.0,0.0,0.0
55,[215590],0.0,0.0,0.0,0.0
56,[267774],0.0,0.0,0.0,0.0
57,[160051],0.0,0.0,0.0,0.0
58,[153056],0.0,0.0,0.0,0.0
59,[269100],0.0,0.0,0.0,0.0
60,[5175],0.0,0.0,0.0,0.0
61,[10653],0.0,0.0,0.0,0.0
62,[119713],0.0,0.0,0.0,0.0
63,[8855],0.0,0.0,0.0,0.0
64,[30701],0.0,0.0,0.0,0.0
65,[199956],0.0,0.0,0.0,0.0
66,[140910],0.0,0.0,0.0,0.0
67,[131366],0.0,0.0,0.0,0.0
68,[292733],0.0,0.0,0.0,0.0
69,[179038],0.0,0.0,0.0,0.0
70,[206837],0.0,0.0,0.0,0.0
71,[229744],0.0,0.0,0.0,0.0
72,[115970],0.0,0.0,0.0,0.0
73,[55292],0.0,0.0,0.0,0.0
74,[136858],0.0,0.0,0.0,0.0
75,[43515],0.0,0.0,0.0,0.0
76,[244765],0.0,0.0,0.0,0.0
77,[179799],0.0,0.0,0.0,0.0
78,[68869],0.0,0.0,0.0,0.0
79,[27361],0.0,0.0,0.0,0.0
80,[28812],0.0,0.0,0.0,0.0
81,[166931],0.0,0.0,0.0,0.0
82,[263456],0.0,0.0,0.0,0.0
83,[41851],0.0,0.0,0.0,0.0
84,[222262],0.0,0.0,0.0,0.0
85,[39105],0.0,0.0,0.0,0.0
86,[172023],0.0,0.0,0.0,0.0
87,[10314],0.0,0.0,0.0,0.0
88,[87972],0.0,0.0,0.0,0.0
89,[116435],0.0,0.0,0.0,0.0
90,[186434],0.0,0.0,0.0,0.0
91,[28884],0.0,0.0,0.0,0.0
92,[242519],0.0,0.0,0.0,0.0
93,[221493],0.0,0.0,0.0,0.0
94,[23528],0.0,0.0,0.0,0.0
95,[229042],0.0,0.0,0.0,0.0
96,[64345],0.0,0.0,0.0,0.0
97,[242495],0.0,0.0,0.0,0.0
98,[245766],0.0,0.0,0.0,0.0
99,[225501],0.0,0.0,0.0,0.0
100,[235700],0.0,0.0,0.0,0.0
101,[116765],0.0,0.0,0.0,0.0
102,[235044],0.0,0.0,0.0,0.0
103,[67787],0.0,0.0,0.0,0.0
104,[223382],0.0,0.0,0.0,0.0
105,[152914],0.0,0.0,0.0,0.0
106,[138812],0.0,0.0,0.0,0.0
107,[11643],0.0,0.0,0.0,0.0
108,[116622],0.0,0.0,0.0,0.0
109,[128831],0.0,0.0,0.0,0.0
110,[291917],0.0,0.0,0.0,0.0
111,[294630],0.0,0.0,0.0,0.0
112,[52385],0.0,0.0,0.0,0.0
113,[42151],0.0,0.0,0.0,0.0
114,[141533],0.0,0.0,0.0,0.0
115,[170982],0.0,0.0,0.0,0.0
116,[262886],0.0,0.0,0.0,0.0
117,[161734],0.0,0.0,0.0,0.0
118,[89768],0.0,0.0,0.0,0.0
119,[242892],0.0,0.0,0.0,0.0
120,[146828],0.0,0.0,0.0,0.0
121,[164088],0.0,0.0,0.0,0.0
122,[177762],0.0,0.0,0.0,0.0
123,[70213],0.0,0.0,0.0,0.0
124,[222859],0.0,0.0,0.0,0.0
125,[9760],0.0,0.0,0.0,0.0
126,[147741],0.0,0.0,0.0,0.0
127,[246118],0.0,0.0,0.0,0.0
128,[7344],0.0,0.0,0.0,0.0
129,[240906],0.0,0.0,0.0,0.0
130,[256099],0.0,0.0,0.0,0.0
131,[199609],0.0,0.0,0.0,0.0
132,[31182],0.0,0.0,0.0,0.0
133,[74763],0.0,0.0,0.0,0.0
134,[190713],0.0,0.0,0.0,0.0
135,[288597],0.0,0.0,0.0,0.0
136,[146534],0.0,0.0,0.0,0.0
137,[253544],0.0,0.0,0.0,0.0
138,[261692],0.0,0.0,0.0,0.0
