Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa,ROC-AUC,PRC-AUC,Confusion Matrix
KNN,0.99,0.9310344827586207,0.8350515463917526,0.8804347826086957,0.8802527349701808,0.9329083151928369,0.8090200777068264,"[[60234     6]
 [   16    81]]"
KNN,0.8,0.9529411764705882,0.8350515463917526,0.8901098901098902,0.8899446266631792,0.9329119946331513,0.8095439042888254,"[[60236     4]
 [   16    81]]"
KNN,0.5,0.9418604651162791,0.8350515463917526,0.8852459016393444,0.8850722454366613,0.9226069947016059,0.7943589846240895,"[[60235     5]
 [   16    81]]"
KNN,0.3,0.9294117647058824,0.8144329896907216,0.868131868131868,0.867933551995815,0.9277532481756822,0.7932838196912885,"[[60234     6]
 [   18    79]]"
KNN,0.2,0.8863636363636364,0.8041237113402062,0.8432432432432433,0.8430031278731351,0.9225885119316548,0.7722533801394631,"[[60230    10]
 [   19    78]]"
KNN,0.1,0.7444444444444445,0.6907216494845361,0.716577540106952,0.7161382759612727,0.9019085171342123,0.6890598354612785,"[[60217    23]
 [   30    67]]"
KNN,0.05,0.6625,0.5463917525773195,0.5988700564971751,0.5982862735437653,0.9068447858052326,0.5825411890014438,"[[60213    27]
 [   44    53]]"
KNN,0.01,0.5280898876404494,0.4845360824742268,0.5053763440860214,0.5046141972774594,0.9167747395298531,0.4765920624623441,"[[60198    42]
 [   50    47]]"
KNN,0.005,0.0,0.0,0.0,0.0,0.9160634951602526,0.30903101338078637,"[[60240     0]
 [   97     0]]"
KNN,0.002,0.0,0.0,0.0,0.0,0.9135915102476692,0.12213756510619031,"[[60240     0]
 [   97     0]]"
KNN,0.001,0.0,0.0,0.0,0.0,0.9061877917881739,0.047009596921132796,"[[60240     0]
 [   97     0]]"
XGBoost,0.99,0.9512195121951219,0.8041237113402062,0.8715083798882682,0.8713188429785018,0.9974052244629729,0.8581150771245527,"[[60236     4]
 [   19    78]]"
XGBoost,0.8,0.9529411764705882,0.8350515463917526,0.8901098901098902,0.8899446266631792,0.9962214715023069,0.8432688164358287,"[[60236     4]
 [   16    81]]"
XGBoost,0.5,0.9523809523809523,0.8247422680412371,0.883977900552486,0.8838045169693327,0.9804850186881342,0.8207221410869708,"[[60236     4]
 [   17    80]]"
XGBoost,0.3,0.9518072289156626,0.8144329896907216,0.8777777777777778,0.8775963022190485,0.9787387392012705,0.8254892290632057,"[[60236     4]
 [   18    79]]"
XGBoost,0.2,0.927710843373494,0.7938144329896907,0.8555555555555555,0.8553410844406937,0.9634947324105638,0.7906454752579812,"[[60234     6]
 [   20    77]]"
XGBoost,0.1,0.8876404494382022,0.8144329896907216,0.8494623655913978,0.8492304078670528,0.9468503135225422,0.7881555074177404,"[[60230    10]
 [   18    79]]"
XGBoost,0.05,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9266556625730753,0.7724926485994504,"[[60230    10]
 [   16    81]]"
XGBoost,0.01,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9226914506920771,0.7606757690512649,"[[60230    10]
 [   16    81]]"
XGBoost,0.005,0.5338345864661654,0.7319587628865979,0.6173913043478261,0.616678607432383,0.9376456373817444,0.4426217625693369,"[[60178    62]
 [   26    71]]"
XGBoost,0.002,0.0,0.0,0.0,0.0,0.9253490334195862,0.41259347009807973,"[[60240     0]
 [   97     0]]"
XGBoost,0.001,0.0,0.0,0.0,0.0,0.9241932613189854,0.4182899755512444,"[[60240     0]
 [   97     0]]"
CatBoost,0.99,0.9529411764705882,0.8350515463917526,0.8901098901098902,0.8899446266631792,0.9902021638531784,0.811065747732801,"[[60236     4]
 [   16    81]]"
CatBoost,0.8,0.9529411764705882,0.8350515463917526,0.8901098901098902,0.8899446266631792,0.9812932120315987,0.8114756120198221,"[[60236     4]
 [   16    81]]"
CatBoost,0.5,0.9529411764705882,0.8350515463917526,0.8901098901098902,0.8899446266631792,0.953147376131214,0.7961503544190055,"[[60236     4]
 [   16    81]]"
CatBoost,0.3,0.9529411764705882,0.8350515463917526,0.8901098901098902,0.8899446266631792,0.9464694486658178,0.8084118353868874,"[[60236     4]
 [   16    81]]"
CatBoost,0.2,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9409376240741502,0.804164737362466,"[[60230    10]
 [   16    81]]"
CatBoost,0.1,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9372780356238277,0.7935061175488884,"[[60230    10]
 [   16    81]]"
CatBoost,0.05,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9481252823756521,0.7841541394373854,"[[60230    10]
 [   16    81]]"
CatBoost,0.01,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9075882894538684,0.7523001116564713,"[[60230    10]
 [   16    81]]"
CatBoost,0.005,0.0,0.0,0.0,0.0,0.9150803144809079,0.4400923774979764,"[[60240     0]
 [   97     0]]"
CatBoost,0.002,0.0,0.0,0.0,0.0,0.934765234594269,0.4787292333178087,"[[60240     0]
 [   97     0]]"
CatBoost,0.001,0.0,0.0,0.0,0.0,0.9339315418737422,0.36455768356908824,"[[60240     0]
 [   97     0]]"
LightGBM,0.99,0.9518072289156626,0.8144329896907216,0.8777777777777778,0.8775963022190485,0.9689869388425677,0.806345643474441,"[[60236     4]
 [   18    79]]"
LightGBM,0.8,0.04878048780487805,0.020618556701030927,0.028985507246376812,0.028057046466740898,0.17143445119864187,0.004856081362584159,"[[60201    39]
 [   95     2]]"
LightGBM,0.5,0.45098039215686275,0.711340206185567,0.552,0.5511167108880175,0.8607742569241933,0.4730100385316568,"[[60156    84]
 [   28    69]]"
LightGBM,0.3,0.9294117647058824,0.8144329896907216,0.868131868131868,0.867933551995815,0.9538931045577141,0.7384326702302266,"[[60234     6]
 [   18    79]]"
LightGBM,0.2,0.8522727272727273,0.7731958762886598,0.8108108108108107,0.8105210163986113,0.9360046925699266,0.7649273438128706,"[[60227    13]
 [   22    75]]"
LightGBM,0.1,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9481574560863076,0.7846572419271356,"[[60230    10]
 [   16    81]]"
LightGBM,0.05,0.0,0.0,0.0,-0.002064410188376664,0.10791036883394257,0.0014443985597406936,"[[60067   173]
 [   97     0]]"
LightGBM,0.01,0.8901098901098901,0.8350515463917526,0.8617021276595744,0.8614865550938917,0.9189145479935926,0.7435601383214321,"[[60230    10]
 [   16    81]]"
LightGBM,0.005,0.5,0.7525773195876289,0.6008230452674898,0.6000504183293109,0.9405854246245261,0.39212023902800286,"[[60167    73]
 [   24    73]]"
LightGBM,0.002,0.5251798561151079,0.7525773195876289,0.6186440677966102,0.617920507809779,0.9386941067345738,0.4326204658324436,"[[60174    66]
 [   24    73]]"
LightGBM,0.001,0.3389121338912134,0.8350515463917526,0.4821428571428571,0.4809557743646494,0.9091808881313235,0.40500181053823814,"[[60082   158]
 [   16    81]]"
