Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa
LOF,0.99,0.014598540145985401,0.020618556701030927,0.017094017094017092,0.015240259205749451
iForest,0.99,0.0,0.0,0.0,-0.001567560422612413
OCSVM,0.99,0.0,0.0,0.0,-0.0025610503354993597
