Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa
LOF,0.99,0.043121149897330596,0.04285714285714286,0.042988741044012284,0.034933958439629764
iForest,0.99,0.0,0.0,0.0,-0.00856267450575321
OCSVM,0.99,0.2205071664829107,0.40816326530612246,0.2863278453829635,0.2784841786725143
